Control ID,Control Name,Layer,OWASP Top 10 2021,OWASP API Security Top 10 2023,NIST CSF,ISO 27001
SEC-001,Security Policy Catalog,1,A05: Security Misconfiguration,,,
SEC-002,Risk-accepted Exceptions,1,A05: Security Misconfiguration,,,
SEC-003,Internal/External Audits,1,A05: Security Misconfiguration,,,
SEC-004,Control->Standard Traceability,1,A05: Security Misconfiguration,,,
SEC-005,STRIDE / LINDDUN / Attack Trees,2,A05: Security Misconfiguration,,,
SEC-006,Misuse/Abuse Scenarios,2,A05: Security Misconfiguration,,,
SEC-007,Risk Scoring & Owners,2,A05: Security Misconfiguration,,,
SEC-008,SAST/Secret Scan,3,A03: Injection,A02: Broken Authentication,,,
SEC-009,SCA/SBOM,3,A06: Vulnerable and Outdated Components,A08: Security Misconfiguration,,,
SEC-010,Sigstore/Cosign & Reproducible Builds,3,A05: Security Misconfiguration,A08: Security Misconfiguration,,,
SEC-011,Security PR Checks,3,A05: Security Misconfiguration,A08: Security Misconfiguration,,,
SEC-012,OAuth2/OIDC,4,A07: Identification and Authentication Failures,A02: Broken Authentication,,,
SEC-013,RBAC/ABAC,4,A01: Broken Access Control,A01: Broken Object Level Authorization,A05: Identity Management,,A.9 Access control
SEC-014,Just-in-Time & Break-glass,4,A01: Broken Access Control,A01: Broken Object Level Authorization,A05: Identity Management,,A.9 Access control
SEC-015,Credential & Token Rotation,4,A07: Identification and Authentication Failures,A02: Broken Authentication,A05: Identity Management,,A.9 Access control
SEC-016,Vault/SOPS,5,A05: Security Misconfiguration,A08: Security Misconfiguration,A03: Data Protection,,A.8 Asset management
SEC-017,Env Separation & Scoping,5,A01: Broken Access Control,A01: Broken Object Level Authorization,A05: Identity Management,,A.9 Access control
SEC-018,Secret Scanning in Repos & Images,5,A05: Security Misconfiguration,A08: Security Misconfiguration,A03: Data Protection,,A.8 Asset management
SEC-019,Automated Rotation,5,A05: Security Misconfiguration,A08: Security Misconfiguration,A03: Data Protection,,A.8 Asset management
SEC-020,Centralized Key Management,6,A02: Cryptographic Failures,A10: Unsafe Consumption of APIs,A03: Data Protection,,A.10 Cryptography
SEC-021,TLS Policy,6,A02: Cryptographic Failures,A10: Unsafe Consumption of APIs,A03: Data Protection,,A.10 Cryptography
SEC-022,Crypto Rules,6,A02: Cryptographic Failures,A10: Unsafe Consumption of APIs,A03: Data Protection,,A.10 Cryptography
SEC-023,Split Knowledge, Dual Control,6,A02: Cryptographic Failures,A10: Unsafe Consumption of APIs,A03: Data Protection,,A.10 Cryptography
SEC-024,Zero-Trust,7,A01: Broken Access Control,A01: Broken Object Level Authorization,A05: Identity Management,,A.9 Access control
